match_id,season,date,total_runs
1426268,2024,2024-04-15,549
1422126,2024,2024-03-27,523
1426280,2024,2024-04-26,523
1426281,2024,2024-04-27,504
419137,2009/10,2010-04-03,469
1426273,2024,2024-04-20,465
1136604,2018,2018-05-12,459
1359512,2023,2023-04-28,458
1082641,2017,2017-05-11,453
1216527,2020/21,2020-09-27,449
335983,2007/08,2008-04-19,447
1426269,2024,2024-04-16,447
1426278,2024,2024-04-24,444
1359498,2023,2023-04-17,444
1426274,2024,2024-04-21,443
1422138,2024,2024-04-07,439
1422134,2024,2024-04-03,438
1254061,2021,2021-04-12,438
1216515,2020/21,2020-10-03,438
1254084,2021,2021-05-01,437
501223,2011,2011-04-23,433
1359493,2023,2023-04-14,433
1359526,2023,2023-05-07,431
829795,2015,2015-05-10,431
335990,2007/08,2008-04-24,431
1359520,2023,2023-05-03,430
1178422,2019,2019-04-28,430
1426307,2024,2024-05-19,429
1304080,2022,2022-04-22,429
734047,2014,2014-05-30,428
1254088,2021,2021-10-08,428
1304076,2022,2022-04-18,427
1426297,2024,2024-05-10,427
1359516,2023,2023-04-30,426
1359489,2023,2023-04-10,425
1426277,2024,2024-04-23,423
1254072,2021,2021-04-21,422
1359480,2023,2023-04-03,422
1426296,2024,2024-05-09,422
1082632,2017,2017-05-04,422
1426294,2024,2024-05-07,422
1136611,2018,2018-05-17,422
1359507,2023,2023-04-23,421
1304053,2022,2022-03-31,421
1216547,2020/21,2020-09-28,420
419107,2009/10,2010-03-13,420
733987,2014,2014-05-07,418
1304112,2022,2022-05-18,418
734007,2014,2014-05-14,416
1178410,2019,2019-04-19,416
1216496,2020/21,2020-09-22,416
1136571,2018,2018-04-15,415
1359505,2023,2023-04-22,415
1304049,2022,2022-03-27,413
548318,2012,2012-04-12,413
1422121,2024,2024-03-23,412
336033,2007/08,2008-05-24,412
1136584,2018,2018-04-25,412
1359538,2023,2023-05-17,411
1175372,2019,2019-04-05,411
729283,2014,2014-04-18,411
1359487,2023,2023-04-09,411
1426305,2024,2024-05-17,410
335989,2007/08,2008-04-23,410
980907,2016,2016-04-12,409
1359531,2023,2023-05-12,409
548372,2012,2012-05-17,409
1426306,2024,2024-05-18,409
1304068,2022,2022-04-12,409
1136590,2018,2018-04-30,409
981019,2016,2016-05-29,408
1175361,2019,2019-03-27,408
1136565,2018,2018-04-10,407
419112,2009/10,2010-03-16,407
1426283,2024,2024-04-28,406
1082610,2017,2017-04-18,405
1370352,2023,2023-05-26,404
419139,2009/10,2010-04-04,404
829741,2015,2015-04-21,403
1426288,2024,2024-05-02,401
1359543,2023,2023-05-21,401
1359515,2023,2023-04-30,401
336019,2007/08,2008-05-28,401
1312198,2022,2022-05-25,400
829737,2015,2015-04-19,400
1175363,2019,2019-03-29,399
1422135,2024,2024-04-04,399
1359528,2023,2023-05-09,399
734049,2014,2014-06-01,399
1359525,2023,2023-05-07,398
1426302,2024,2024-05-14,397
1082612,2017,2017-04-20,397
598027,2013,2013-04-23,396
1359544,2023,2023-05-21,395
1426263,2024,2024-04-11,395
1426282,2024,2024-04-27,395
1426262,2024,2024-04-10,395
829787,2015,2015-05-07,395
1178399,2019,2019-04-10,395
1304086,2022,2022-04-27,394
1304096,2022,2022-05-05,393
1254068,2021,2021-04-18,393
548326,2012,2012-04-17,393
1426267,2024,2024-04-14,392
1082640,2017,2017-05-10,392
1304092,2022,2022-05-01,391
1216541,2020/21,2020-10-25,391
980949,2016,2016-04-29,391
1136572,2018,2018-04-15,390
1175358,2019,2019-03-24,389
1136569,2018,2018-04-14,389
1359482,2023,2023-04-05,389
829811,2015,2015-05-16,389
1216517,2020/21,2020-10-18,388
1082623,2017,2017-04-28,388
419159,2009/10,2010-04-18,387
1178417,2019,2019-04-24,387
1175365,2019,2019-03-30,387
1304065,2022,2022-04-10,386
980969,2016,2016-05-07,386
598034,2013,2013-04-28,386
336014,2007/08,2008-05-11,385
1370353,2023,2023-05-29,385
1359514,2023,2023-04-29,385
1254085,2021,2021-05-02,385
1304091,2022,2022-05-01,384
548366,2012,2012-05-13,384
1304069,2022,2022-04-13,384
598064,2013,2013-05-06,384
734041,2014,2014-05-25,384
729291,2014,2014-04-20,384
1178415,2019,2019-04-22,384
980921,2016,2016-04-17,383
1304111,2022,2022-05-17,383
1136586,2018,2018-04-27,383
1216538,2020/21,2020-10-04,382
548381,2012,2012-05-27,382
733999,2014,2014-05-11,381
1082637,2017,2017-05-07,381
501206,2011,2011-04-13,381
1304072,2022,2022-04-16,380
1136574,2018,2018-04-17,380
548329,2012,2012-05-10,380
1304098,2022,2022-05-07,379
1312197,2022,2022-05-24,379
1254089,2021,2021-10-02,379
1359510,2023,2023-04-26,379
1082591,2017,2017-04-05,379
1178423,2019,2019-04-29,379
1304062,2022,2022-04-08,379
1254059,2021,2021-04-10,378
1136602,2018,2018-05-10,378
501213,2011,2011-04-17,377
1422129,2024,2024-03-30,377
336028,2007/08,2008-05-21,377
392231,2009,2009-05-18,377
1426279,2024,2024-04-25,377
548342,2012,2012-04-27,377
1359540,2023,2023-05-19,376
336020,2007/08,2008-05-15,376
980909,2016,2016-04-13,375
419116,2009/10,2010-03-19,375
336009,2007/08,2008-05-08,375
1178402,2019,2019-04-13,375
1082613,2017,2017-04-21,375
1426271,2024,2024-04-18,375
980959,2016,2016-05-02,374
598006,2013,2013-04-09,374
734029,2014,2014-05-22,374
1082630,2017,2017-05-02,374
980953,2016,2016-04-30,373
829711,2015,2015-04-11,373
1359539,2023,2023-05-18,373
1422137,2024,2024-04-06,372
1426292,2024,2024-05-05,372
1359511,2023,2023-04-27,372
829729,2015,2015-04-17,372
335998,2007/08,2008-04-30,372
1082592,2017,2017-04-06,371
1359496,2023,2023-04-16,371
1359506,2023,2023-04-23,371
1216537,2020/21,2020-10-30,371
1136576,2018,2018-04-19,371
598025,2013,2013-04-21,371
598026,2013,2013-04-22,371
829715,2015,2015-04-12,370
1359499,2023,2023-04-18,370
1254067,2021,2021-04-18,370
419145,2009/10,2010-04-08,370
1082627,2017,2017-04-30,370
598051,2013,2013-05-08,369
392189,2009,2009-04-23,369
980995,2016,2016-05-16,369
1359541,2023,2023-05-20,369
1136610,2018,2018-05-16,369
1254111,2021,2021-09-21,368
1359524,2023,2023-05-06,368
1422128,2024,2024-03-29,368
1136605,2018,2018-05-12,368
1175362,2019,2019-03-28,368
1178427,2019,2019-05-03,368
548327,2012,2012-04-17,368
1082611,2017,2017-04-19,367
829791,2015,2015-05-09,367
1082593,2017,2017-04-07,367
1359532,2023,2023-05-13,367
548317,2012,2012-04-11,367
1422122,2024,2024-03-24,366
548356,2012,2012-05-06,366
501210,2011,2011-04-15,366
1082620,2017,2017-04-26,366
829769,2015,2015-05-01,366
419136,2009/10,2010-04-02,365
829799,2015,2015-05-11,365
1304106,2022,2022-05-13,364
829777,2015,2015-05-03,364
1175357,2019,2019-03-24,364
