batter,runs_scored,balls_faced,strike_rate
L Wood,9,3,300.0
B Stanlake,5,2,250.0
J Fraser-McGurk,324,139,233.09352517985613
R Sai Kishore,13,6,216.66666666666666
Umar Gul,39,19,205.26315789473685
RS Sodhi,4,2,200.0
R Shepherd,115,62,185.48387096774192
Naman Dhir,140,78,179.4871794871795
PD Salt,652,368,177.17391304347828
Shahid Afridi,81,46,176.08695652173913
AD Russell,2465,1407,175.1954513148543
I Malhotra,7,4,175.0
TM Head,767,441,173.92290249433105
SB Dubey,33,19,173.6842105263158
LJ Wright,102,59,172.8813559322034
WG Jacks,224,130,172.30769230769232
T Stubbs,399,232,171.98275862068965
KK Cooper,115,67,171.6417910447761
ER Dwivedi,24,14,171.42857142857142
AUK Pathan,39,23,169.56521739130434
TH David,652,385,169.35064935064935
H Klaasen,987,584,169.00684931506848
BCJ Cutting,238,141,168.79432624113474
K Gowtham,247,148,166.89189189189187
KMDN Kulasekara,5,3,166.66666666666669
Shivam Sharma,5,3,166.66666666666669
Ashutosh Sharma,183,110,166.36363636363635
SP Narine,1532,924,165.80086580086578
Ramandeep Singh,164,100,164.0
Avesh Khan,41,25,164.0
CR Brathwaite,180,110,163.63636363636365
BJ Haddin,18,11,163.63636363636365
KJ Abbott,13,8,162.5
N Pooran,1769,1090,162.2935779816514
Rashid Khan,536,331,161.93353474320242
LS Livingstone,923,571,161.646234676007
Shashank Singh,423,262,161.45038167938932
Kamran Akmal,124,77,161.03896103896105
AJ Hosein,16,10,160.0
OC McCoy,8,5,160.0
R Ravindra,218,137,159.12408759124088
RM Patidar,798,502,158.9641434262948
Akash Deep,19,12,158.33333333333331
D Pretorius,44,28,157.14285714285714
GJ Maxwell,2764,1761,156.95627484383874
V Sehwag,2713,1740,155.91954022988506
A Raghuvanshi,163,105,155.23809523809524
Abhishek Sharma,1369,883,155.039637599094
AP Dole,34,22,154.54545454545453
CH Morris,612,397,154.15617128463478
RR Rossouw,471,306,153.921568627451
LPC Silva,40,26,153.84615384615387
SO Hetmyer,1241,807,153.77942998760844
PVD Chameera,43,28,153.57142857142858
C Green,699,457,152.95404814004377
Abishek Porel,359,235,152.76595744680853
Bipul Sharma,187,123,152.03252032520325
Dhruv Jurel,347,229,151.528384279476
AB de Villiers,5148,3400,151.41176470588235
JM Sharma,723,481,150.3118503118503
YBK Jaiswal,1595,1062,150.18832391713747
SD Hope,183,122,150.0
TU Deshpande,21,14,150.0
Harmeet Singh,18,12,150.0
MA Wood,12,8,150.0
JC Archer,186,124,150.0
PJ Cummins,510,342,149.12280701754386
CH Gayle,4956,3331,148.78414890423298
RR Pant,3281,2206,148.73073436083408
Arshad Khan,96,65,147.6923076923077
PP Shaw,1890,1280,147.65625
R Powell,360,244,147.54098360655738
KA Pollard,3411,2315,147.34341252699784
JC Buttler,3559,2419,147.12691194708557
Atharva Taide,247,168,147.02380952380955
D Wiese,147,100,147.0
Vivrant Sharma,69,47,146.80851063829786
S Dube,1499,1022,146.67318982387476
Tilak Varma,1154,787,146.6327827191868
P Sahu,19,13,146.15384615384613
HH Pandya,2521,1730,145.72254335260115
Abdul Samad,574,394,145.68527918781726
MJ Lumb,278,191,145.5497382198953
P Simran Singh,750,516,145.3488372093023
PBB Rajapaksa,276,190,145.26315789473685
SA Yadav,3575,2462,145.2071486596263
A Ashish Reddy,280,193,145.0777202072539
JM Bairstow,1587,1096,144.7992700729927
KR Mayers,373,258,144.5736434108527
Arjun Tendulkar,13,9,144.44444444444443
Misbah-ul-Haq,117,81,144.44444444444443
MF Maharoof,177,123,143.90243902439025
YK Pathan,3210,2233,143.75279892521272
ST Jayasuriya,760,529,143.66729678638941
Nithish Kumar Reddy,303,212,142.9245283018868
RK Singh,879,617,142.4635332252836
Mohammad Nabi,215,151,142.3841059602649
LH Ferguson,64,45,142.22222222222223
MP Stoinis,1856,1308,141.8960244648318
MM Ali,1160,818,141.80929095354523
DP Conway,923,651,141.78187403993857
HM Amla,575,406,141.6256157635468
JA Morkel,967,683,141.58125915080527
M Shahrukh Khan,553,391,141.43222506393863
MS Gony,99,70,141.42857142857144
MK Lomror,526,372,141.3978494623656
N Wadhera,350,250,140.0
AU Rashid,21,15,140.0
V Viyaskanth,7,5,140.0
CA Lynn,1317,941,139.95749202975557
DA Warner,6537,4682,139.61982058949167
SV Samson,4412,3167,139.31165140511524
JJ Roy,614,441,139.22902494331066
DA Miller,2913,2094,139.11174785100286
SN Thakur,306,220,139.0909090909091
RN ten Doeschate,326,235,138.72340425531914
Sunny Singh,43,31,138.70967741935485
B Sai Sudharsan,1018,735,138.50340136054422
RA Tripathi,2213,1598,138.48560700876095
AN Ahmed,36,26,138.46153846153845
B Akhil,76,55,138.1818181818182
AC Gilchrist,2046,1483,137.96358732299393
SR Watson,3864,2801,137.95073188147092
NLTC Perera,421,306,137.58169934640523
Harbhajan Singh,824,599,137.56260434056762
MS Dhoni,5213,3790,137.5461741424802
Yudhvir Singh,22,16,137.5
D Salunkhe,33,24,137.5
ML Hayden,1096,799,137.17146433041302
RD Gaikwad,2372,1730,137.10982658959537
E Lewis,654,477,137.1069182389937
M Morkel,122,89,137.07865168539325
S Narwal,37,27,137.03703703703704
SK Raina,5513,4025,136.9689440993789
BJ Rohrer,193,141,136.8794326241135
JR Hopes,417,305,136.72131147540983
VR Iyer,1320,966,136.64596273291926
F du Plessis,4566,3345,136.50224215246635
I Udana,15,11,136.36363636363635
JP Faulkner,524,385,136.1038961038961
SM Curran,874,643,135.9253499222395
Ishan Kishan,2635,1939,135.89479112944818
Shubman Gill,3205,2360,135.8050847457627
R Parag,1173,865,135.60693641618496
DL Chahar,80,59,135.59322033898303
DR Smith,2379,1755,135.55555555555557
MJ Guptill,265,196,135.20408163265304
R Tewatia,1011,748,135.16042780748663
KD Karthik,4824,3570,135.12605042016807
KP Pietersen,1000,742,134.77088948787062
PN Mankad,97,72,134.72222222222223
KL Rahul,4680,3474,134.71502590673575
N Rana,2621,1946,134.68653648509763
BA Stokes,934,695,134.38848920863308
Q de Kock,3152,2349,134.1847594721158
A Badoni,633,472,134.11016949152543
Sikandar Raza,182,136,133.8235294117647
D Brevis,230,172,133.72093023255815
DAJ Bracewell,12,9,133.33333333333331
CRD Fernando,4,3,133.33333333333331
P Chopra,8,6,133.33333333333331
JPR Scantlebury-Searles,8,6,133.33333333333331
AC Blizzard,120,90,133.33333333333331
K Upadhyay,12,9,133.33333333333331
VRV Singh,4,3,133.33333333333331
MA Agarwal,2651,1990,133.21608040201005
S Vidyut,145,109,133.0275229357798
A Manohar,231,174,132.75862068965517
KH Pandya,1643,1239,132.60694108151736
C de Grandhomme,297,224,132.58928571428572
SE Marsh,2473,1866,132.529474812433
SM Pollock,147,111,132.43243243243242
V Kohli,7995,6051,132.12692117005454
Rahmanullah Gurbaz,283,215,131.62790697674419
TR Birt,75,57,131.57894736842107
DJ Mitchell,351,267,131.46067415730337
